q,h,he,li,be,b,c,n,o,f,ne,na,mg,al,si,p,s,cl,ar,k,ca,mn2+,cu2+,se
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,27,34
0.02,0.991,1.993,2.947,3.95,4.954,5.958,6.963,7.967,8.97,9.973,10.922,11.914,12.903,13.9,14.914,15.915,16.919,17.924,18.854,19.838,22.953,26.956,33.881
0.04,0.966,1.972,2.802,3.807,4.82,5.837,6.855,7.869,8.881,9.891,10.709,11.674,12.629,13.628,14.646,15.665,16.683,17.7,18.462,19.392,22.812,26.824,33.532
0.06,0.925,1.939,2.606,3.592,4.613,5.645,6.682,7.712,8.736,9.757,10.412,11.319,12.222,13.209,14.237,15.271,16.306,17.34,17.924,18.758,22.581,26.608,32.982
0.08,0.872,1.893,2.4,3.336,4.352,5.396,6.453,7.501,8.541,9.576,10.084,10.903,11.739,12.695,13.721,14.764,15.814,16.865,17.332,18.045,22.266,26.311,32.273
0.1,0.811,1.837,2.215,3.065,4.06,5.107,6.18,7.245,8.302,9.351,9.76,10.472,11.23,12.134,13.138,14.177,15.234,16.298,16.733,17.331,21.875,25.939,31.449
0.12,0.744,1.774,2.065,2.804,3.756,4.794,5.875,6.954,8.026,9.09,9.455,10.059,10.733,11.567,12.527,13.546,14.597,15.665,16.138,16.655,21.418,25.5,30.557
0.14,0.676,1.701,1.95,2.569,3.459,4.472,5.551,6.637,7.721,8.799,9.166,9.678,10.273,11.025,11.922,12.902,13.932,14.991,15.543,16.024,20.904,25.001,29.637
0.16,0.608,1.624,1.863,2.365,3.179,4.153,5.218,6.304,7.395,8.483,8.888,9.334,9.857,10.525,11.345,12.27,13.263,14.301,14.941,15.43,20.344,24.451,28.718
0.18,0.542,1.543,1.796,2.197,2.924,3.847,4.886,5.964,7.055,8.15,8.613,9.023,9.487,10.074,10.811,11.668,12.611,13.615,14.334,14.859,19.748,23.857,27.822
0.2,0.481,1.46,1.742,2.06,2.699,3.56,4.563,5.623,6.709,7.805,8.335,8.735,9.158,9.673,10.327,11.109,11.991,12.949,13.728,14.304,19.126,23.229,26.962
0.22,0.424,1.377,1.693,1.951,2.503,3.297,4.254,5.289,6.362,7.454,8.052,8.465,8.862,9.319,9.894,10.598,11.413,12.315,13.13,13.76,18.488,22.574,26.145
0.24,0.373,1.295,1.648,1.864,2.336,3.058,3.963,4.965,6.02,7.102,7.764,8.205,8.592,9.004,9.51,10.138,10.881,11.721,12.55,13.225,17.517,21.9,25.372
0.26,0.328,1.214,1.604,1.795,2.195,2.846,3.693,4.655,5.685,6.754,7.471,7.951,8.341,8.722,9.17,9.727,10.398,11.172,11.994,12.701,17.193,21.214,24.641
0.28,0.287,1.136,1.559,1.739,2.077,2.658,3.445,4.363,5.363,6.412,7.176,7.698,8.103,8.467,8.869,9.363,9.964,10.671,11.468,12.194,16.551,20.523,23.947
0.3,0.251,1.06,1.513,1.692,1.979,2.494,3.219,4.089,5.054,6.079,6.881,7.446,7.873,8.231,8.6,9.039,9.576,10.216,10.977,11.705,15.92,19.832,23.288
0.32,0.22,0.988,1.465,1.652,1.897,2.351,3.014,3.834,4.761,5.758,6.588,7.194,7.648,8.011,8.357,8.752,9.231,9.807,10.521,11.24,15.304,19.146,22.656
0.34,0.193,0.92,1.417,1.616,1.829,2.227,2.831,3.599,4.484,5.451,6.298,6.943,7.426,7.8,8.134,8.494,8.923,9.441,10.103,10.8,14.707,18.469,22.048
0.36,0.169,0.856,1.369,1.583,1.771,2.12,2.667,3.383,4.225,5.158,6.015,6.691,7.205,7.597,7.928,8.262,8.649,9.113,9.722,10.388,14.132,17.805,21.459
0.38,0.148,0.795,1.32,1.551,1.723,2.028,2.522,3.186,3.983,4.88,5.739,6.442,6.985,7.398,7.733,8.051,8.403,8.82,9.375,10.004,13.581,17.157,20.887
0.4,0.13,0.738,1.27,1.52,1.681,1.948,2.393,3.006,3.759,4.617,5.471,6.194,6.766,7.202,7.547,7.856,8.181,8.558,9.061,9.65,13.055,16.528,20.328
0.42,0.115,0.686,1.221,1.489,1.644,1.88,2.278,2.844,3.551,4.37,5.214,5.951,6.548,7.008,7.367,7.673,7.979,8.322,8.778,9.324,12.556,15.919,19.78
0.44,0.101,0.636,1.173,1.458,1.611,1.821,2.178,2.697,3.36,4.139,4.967,5.712,6.33,6.815,7.19,7.501,7.794,8.11,8.522,9.025,12.083,15.332,19.242
0.46,0.09,0.591,1.125,1.427,1.581,1.77,2.089,2.564,3.183,3.923,4.731,5.48,6.115,6.622,7.017,7.335,7.621,7.917,8.29,8.752,11.638,14.767,18.713
0.48,0.079,0.548,1.078,1.395,1.553,1.725,2.011,2.445,3.022,3.722,4.506,5.253,5.902,6.431,6.845,7.174,7.459,7.739,8.08,8.502,11.219,14.227,18.193
0.5,0.071,0.509,1.033,1.362,1.526,1.685,1.942,2.338,2.874,3.535,4.293,5.034,5.692,6.24,6.674,7.017,7.305,7.575,7.889,8.275,10.827,13.711,17.682
