q_inv_angstrom,debye_radial_csgc,debye_kdt_csgc,prop_radial_csgc,prop_kdt_csgc
0,1,1,1,1
0.02,0.9726759080104898,0.9830670883997377,0.972865504413454,0.9830935926293978
0.04,0.8953074967469321,0.9337104222359156,0.8960063106267268,0.9338120425156355
0.06,0.7804658907914737,0.8560842569007363,0.7818357501872126,0.85629712449119
0.08,0.6454007384511432,0.7565636911707156,0.6474019235875282,0.7569053811091238
0.1,0.5078239928855435,0.6430035561636588,0.5102382311230483,0.6434699819109717
0.12,0.3821244434725738,0.5238512510632556,0.38463189508104006,0.5244169957901451
0.14,0.27708752188449565,0.4072350539410904,0.2793665951684709,0.4078570372078408
0.16,0.19554508452190278,0.3001484863283096,0.19735909440428848,0.3007723236037763
0.18,0.13566048973682998,0.2078322487870608,0.13690454769849814,0.20840023837473537
0.2,0.09305940827899864,0.13342168899788362,0.09375908903226507,0.13388112620977055
0.22,0.062907943257781,0.07788560537347163,0.0631797833644879,0.07819611245324566
0.24,0.041291024608610755,0.040238520280624655,0.0412863768114412,0.04037728787898526
0.26,0.025681501001740138,0.01797041742329235,0.025536401629932422,0.017934636503404117
0.28,0.01469350784435935,0.007611112215126871,0.014499584787856044,0.0074173619137345576
0.3,0.00752345903405116,0.0053345038556898055,0.0073234042607389655,0.005015363381317431
0.32,0.0034604988407876385,0.007511830967716763,0.0032617047287056052,0.007110415214644453
0.34,0.0016699788327547713,0.011140892907790408,0.0014651422504260742,0.010704301584945983
0.36,0.0012448213186512704,0.014105939380041812,0.0010292122413570193,0.013678715910732438
0.38,0.0013862796668013253,0.015255112234950186,0.0011660121456843503,0.014873723919314543
0.4,0.0015572652910175893,0.014313143122846485,0.0013483409732383217,0.014002244813601355
0.42,0.0015198853972259736,0.011671373321732181,0.001341574623674868,0.011442257551900252
0.44,0.001260970870070163,0.008111533750750865,0.001128235660153142,0.007962771523804507
0.46,8.692540290623699e-4,0.004522646408398648,7.877979641273457e-4,0.004442557775895428
0.48,4.338619487314283e-4,0.001662600533236092,3.9921025439011357e-4,0.0016329245748401711
0.5,0,0,0,0
