q_inv_angstrom,debye_radial_perlecan,debye_kdt_perlecan,prop_radial_perlecan,prop_kdt_perlecan
0,190916539977.5622,6099029332.826331,28768333815.176933,925062145.751675
0.02,110374969447.4691,5966185193.600187,16632023236.479795,905029560.63357
0.04,17164500528.804651,5580951755.159665,2589837793.13173,846936630.229356
0.06,1798667925.838146,4981459912.73961,276732061.932899,756531661.1406
0.08,1789689306.712791,4225645699.304585,275056782.852605,642548809.930436
0.1,1085926598.343774,3383731143.920258,169564103.642339,515574788.938575
0.12,870232795.74586,2529349628.9594,137242244.394806,386711228.492315
0.14,837198322.678984,1730632332.172252,132089830.652421,266231107.249263
0.16,602960097.76014,1042536569.807452,96420352.853495,162422279.351699
0.18,438201915.164075,501456516.323421,71294614.77248,80774918.002967
0.2,318123887.619923,122757891.238789,52911721.551336,23609593.501627
0.22,237654070.559203,-98607042.162312,40666125.503027,-9830414.732928
0.24,163279211.030855,-184734594.486007,29505312.501247,-22872326.094041
0.26,120606396.882503,-169391608.41829,23117368.005263,-20603572.670319
0.28,107616841.220078,-91622151.143977,21117744.301505,-8908373.47713
0.3,89355826.390914,10583519.202585,18375502.805896,6486457.780786
0.32,57153105.437401,105584850.004312,13581016.111788,20809853.226512
0.34,41722409.896699,171638112.476857,11255905.510312,30781405.920107
0.36,34644101.993638,198339481.776879,10217256.580411,34829276.739368
0.38,28775880.401341,185996743.91422,9372208.072358,32995959.666084
0.4,26065314.855205,143309388.678358,8959244.154851,26589076.833893
0.42,22018060.960064,83984902.168759,8345843.802469,17671763.302475
0.44,21041633.179427,23032006.400715,8210233.611593,8504235.692864
0.46,21380120.319441002,-26559293.268839,8276028.67634,1043504.961359
0.48,20666639.231944,-56197235.911814,8173923.331836,-3415329.391189
0.5,19745541.626217,-62815115.224148,8040413.084453,-4409112.765912
