q_inv_angstrom,debye_radial_rubisco,debye_kdt_rubisco,prop_radial_rubisco,prop_kdt_rubisco
0,1,1,0,0
0.02,0.5037425270830883,0.9777413925961435,0.4961128682712,0.022252439425433798
0.04,0.10857036210867185,0.9132731844209095,0.8912662459313841,0.0867032442463019
0.06,0.016870656747038682,0.8132065120877228,0.9830780781254042,0.1867444145103645
0.08,9.525225267622552e-4,0.6875692328117887,0.9990412583571254,0.31235271957728267
0.1,0.00377407495255352,0.5484809292536225,0.9961683462885085,0.45141391072559506
0.12,0.0019680606966174428,0.4085920796521942,0.9979728276826185,0.591282652742696
0.14,3.455195564037042e-4,0.2795214377172167,0.9996511532434914,0.7203442885313119
0.16,3.057113253934955e-4,0.17051878048737082,0.9996908602768678,0.8293514248427611
0.18,1.7058615129893727e-4,0.08753675265894473,0.9998253937125544,0.9123517213007919
0.2,1.6900003258769823e-4,0.032823879232978435,0.9998302181909772,0.9670948666233604
0.22,1.2514135063381246e-4,0.005063935550754933,0.9998750669401557,0.9948935451601375
0.24,7.841950012581248e-5,0,0.9999215985357178,1
0.26,4.6417328339718125e-5,0.011409370340431975,0.999954079498349,0.9886318966069318
0.28,2.8311811102783154e-5,0.032249642324779525,0.9999729129144306,0.967827048642963
0.3,2.3148782625850475e-5,0.05578306054025329,0.9999775750523971,0.9443197577014266
0.32,2.6268281434647664e-5,0.07650612781819353,0.9999741860756253,0.9236116683116308
0.34,2.5867889857949694e-5,0.09075891453906373,0.9999741040942833,0.9093626297287328
0.36,9.09484320269446e-6,0.09695347116969337,0.9999906943301353,0.9031621491697512
0.38,4.505067185028795e-6,0.09543062541340963,0.9999959275372877,0.9046721977485757
0.4,8.810362591568705e-6,0.08801656496872354,0.9999917192115533,0.9120700548150983
0.42,4.869589208023803e-6,0.07739454057056583,0.9999951694533175,0.9226759686170266
0.44,5.221108336067873e-6,0.06642637880788789,0.9999944237857961,0.9336310602243552
0.46,6.883324750576578e-6,0.05755184297747042,0.9999926432517212,0.9424975311796766
0.48,2.078695143914794e-6,0.052364701349158764,0.9999977095751309,0.9476823794646413
0.5,0,0.05142005238577145,1,0.948630093937768
