q_inv_angstrom,debye_radial_strip1_iso2,debye_kdt_strip1_iso2,prop_radial_strip1_iso2,prop_kdt_strip1_iso2
0,6299274184.437549,1226239780.869707,5024669350.474459,980485168.678123
0.02,5408438322.290135,1199019827.888209,4314709769.444724,958733693.805007
0.04,3475569878.874638,1120091805.020786,2774086552.28956,895661790.527625
0.06,1777698931.413669,997289126.806091,1420333692.667414,797527776.926392
0.08,820154376.456064,842515974.689057,656404406.704887,673842334.614052
0.1,379114709.110273,670204885.127359,304211121.733712,536136387.280982
0.12,173736451.551426,495495284.122461,139922725.391445,396506039.332111
0.14,81177103.307131,332402449.874183,65641696.949172,266149828.187897
0.16,47110476.019808,192239339.790577,38203832.616045,154107920.626326
0.18,38114632.549602,82504877.591855,30919790.370396,66373877.346932
0.2,33864193.463103,6370996.477416,27428305.97071,5484676.558086
0.22,28060527.884954,-37198348.216021,22694771.855447,-29384451.538113
0.24,23197508.756352,-52762572.039302,18750087.291569,-41873373.294995
0.26,18694334.194171,-47303997.847838,15131444.798275,-37558165.748
0.28,13430907.702484,-28915178.791517,10932965.439202,-22902642.124927
0.3,9955575.499743,-5494594.267492,8163046.001663,-4216477.089058
0.32,9272181.113486,16349391.906228,7616845.135991,13220400.963822
0.34,9016269.947083,32038800.115543,7417142.619018,25749309.598856
0.36,7706785.13083,39335881.402544,6371124.404735,31580552.654981
0.38,6405926.128315,38227102.407777,5326081.656448,30701012.990759
0.4,5845482.05342,30457043.040957,4875149.01509,24502090.312221
0.42,5568374.71998,18839277.184756,4646671.631768,15229453.259078
0.44,5516973.217752,6495222.911272,4597884.150765,5375186.025412
0.46,5458079.617783,-3833430.932057,4553245.783304,-2871376.177404
0.48,4834017.449697,-10284179.309078,4062986.346807,-8022629.080503
0.5,3997693.434134,-12119168.282333,3402931.912308,-9488872.161364
