q_inv_angstrom,debye_radial_titin_homologue,debye_kdt_titin_homologue,prop_radial_titin_homologue,prop_kdt_titin_homologue
0,1,1,1,1
0.02,0.7369835327433945,0.9792642887366861,0.7392809662728426,0.979217812993007
0.04,0.28817792243944484,0.9191015377761599,0.29357653149814467,0.9189231291402769
0.06,0.061692933744519035,0.8253760838792711,0.06612920264088573,0.8250016056795225
0.08,0.0179118962789675,0.7070068117145798,0.01939766344201413,0.7064039347250759
0.1,0.015040412380572002,0.5748213433449735,0.015255442147460219,0.5739950936847652
0.12,0.01494573027931711,0.4402018511010404,0.014961161994128754,0.4391944187636999
0.14,0.012562939223461958,0.31372193420506345,0.012401171443346489,0.31260687207916255
0.16,0.008947937577847887,0.20396894291393128,0.008833366224813666,0.2028407764522907
0.18,0.005731968772489108,0.11671020359710464,0.005762677743437007,0.11567117375162925
0.2,0.003325866581964658,0.05450166714311341,0.003368122900458509,0.053647729931705385
0.22,0.0025671069288619097,0.016764385734790728,0.0025720244683793705,0.016172631960056846
0.24,0.0022220200704008287,2.8065670157188447e-4,0.002202610803402925,0
0.26,0.0015092045866698205,0,0.0014876911593293325,4.637695532825663e-5
0.28,9.250180729173411e-4,0.010005127594297579,9.232473585584557e-4,0.010361674124531605
0.3,5.685973058405505e-4,0.024475274204873745,5.78986054516236e-4,0.02509712756883579
0.32,3.445090395892469e-4,0.03849921722542058,3.602588412711786e-4,0.039321882459238525
0.34,2.4696397878492193e-4,0.048628655902446416,2.6601421354104137e-4,0.049578384061622016
0.36,2.2143402779807705e-4,0.053116119913032354,2.378126767831434e-4,0.05412054373524635
0.38,1.599391946342744e-4,0.05183983748246012,1.7219126724540832e-4,0.05283721395310299
0.4,9.912608352057233e-5,0.04597045384431419,1.0474123781387041e-4,0.046916234022437074
0.42,9.001718177605999e-5,0.037472367678251295,9.110554673828746e-5,0.038342368821825686
0.44,7.530994626058494e-5,0.028550237108215543,7.436790788594381e-5,0.02934032052746292
0.46,3.9515383380333173e-05,0.021147466634098888,3.751262447815171e-5,0.021870211415444853
0.48,1.674911088847129e-5,0.01658085638058182,1.6434659269470384e-5,0.017260164843590595
0.5,0,0.015359995459262341,0,0.016024804728660556
