q_inv_angstrom,intensity
0.000000,186.836133
0.020000,182.772539
0.040000,171.063820
0.060000,153.069864
0.080000,130.789167
0.100000,106.520472
0.120000,82.498860
0.140000,60.580760
0.160000,42.035025
0.180000,27.467648
0.200000,16.874663
0.220000,9.790211
0.240000,5.481305
0.260000,3.139653
0.280000,2.032100
0.300000,1.589693
0.320000,1.434650
0.340000,1.359396
0.360000,1.279128
0.380000,1.179037
0.400000,1.071379
0.420000,0.969318
0.440000,0.877024
0.460000,0.790812
0.480000,0.704862
0.500000,0.616332
