q_inv_angstrom,debeye_radial_gpx,debeye_kdt_gpx,prop_radial_gpx,prop_kdt_gpx
0,1,1,1,1
0.02,0.9289125721799922,0.9963098378846018,0.9287994463049596,0.9963095298569475
0.04,0.7465184605634306,0.985300713303415,0.746165539036869,0.985299793265621
0.06,0.5245936375891971,0.9671564947254359,0.5240928346629946,0.9671544588124057
0.08,0.3311134815263764,0.9421786787380941,0.33071885128962364,0.9421751745449284
0.1,0.19744122292695127,0.9107802105055461,0.19738499639283982,0.9107749832435398
0.12,0.11769283509233311,0.8734764854886472,0.1180243741000267,0.8734693402506126
0.14,0.07057955451402595,0.8308742913176895,0.07115044903023278,0.8308649552816668
0.16,0.03979698261884594,0.7836582561658545,0.040384101299374316,0.7836467402703473
0.18,0.01930627942233112,0.7325767550576024,0.019754132402163265,0.7325631815442786
0.2,0.007779582494052081,0.6784260815688663,0.008053150961909455,0.6784105106438248
0.22,0.0031502924175608226,0.6220334269841071,0.0032918618060619412,0.6220160507317852
0.24,0.0021342220918983117,0.5642398594533706,0.002196906351772182,0.5642211498100573
0.26,0.0021583052748438414,0.505883953627418,0.0021766682534715225,0.5058641192083012
0.28,0.0021688148075174065,0.44778390251068273,0.0021650736479783316,0.447763572085634
0.3,0.001972761512655846,0.39072309853062426,0.0019654797285883316,0.39070256525338776
0.32,0.0015599986401792138,0.33543397999888336,0.001560560250953356,0.33541390149695843
0.34,0.0010127606321545855,0.2825861056799203,0.0010207857307984647,0.282566927168772
0.36,5.343062038798326e-4,0.23277401253362837,5.425536162575394e-4,0.23275610776338937
0.38,2.7893516432647795e-4,0.18650767537024396,2.8236900057929196e-4,0.18649162135076974
0.4,2.1306500786688465e-4,0.14420600206960438,2.1219410005103584e-4,0.14419214582070564
0.42,2.032587152978704e-4,0.10619130451751602,2.0088581432171586e-4,0.10617995987643918
0.44,1.7260637677252844e-4,0.07268713034550685,1.7028453407170766e-4,0.07267841906446448
0.46,1.2476930585105973e-4,0.04381761245275225,1.226558252955956e-4,0.04381179629651513
0.48,7.144584585996037e-5,0.01961028774439681,6.984949227717783e-5,0.019607420304731588
0.5,0,0,0,0
