q_inv_angstrom,debeye_radial_plastocyanin,debeye_kdt_plastocyanin,prop_radial_plastocyanin,prop_kdt_plastocyanin
0,1,1,1,1
0.02,0.978178507450988,0.996351242182075,0.9783558625961103,0.9963517852183835
0.04,0.9153027072561419,0.9854652586323036,0.9159727280470645,0.9854673622773712
0.06,0.8186751955556004,0.9675214118150958,0.8200448142010262,0.9675260869697989
0.08,0.6990278923131273,0.9428143846708172,0.7011533564623712,0.9428225566349795
0.1,0.5687050433482098,0.9117477026580183,0.5714856453665175,0.91176023104658
0.12,0.43970902965361885,0.8748251392352039,0.4429164115862092,0.8748427257320228
0.14,0.3220088716559202,0.8326397802984588,0.32534220026441957,0.8326629958653319
0.16,0.22241830770724538,0.7858614210259821,0.22556983347395285,0.7858906797077908
0.18,0.14419151913925632,0.7352223913368282,0.14690594558157427,0.735257914285726
0.2,0.08730720853901032,0.6815021306548281,0.08942176360269206,0.6815439738425517
0.22,0.04926371390548312,0.6255111533596533,0.050722653726192876,0.6255591065134707
0.24,0.026124896352993098,0.5680743087177245,0.026969495811323005,0.5681279608779841
0.26,0.013550229279860526,0.5100142973659052,0.013891279284299028,0.5100730019804178
0.28,0.0076026716407026984,0.4521354122788791,0.007585509894086788,0.45219830881025386
0.3,0.005226946837946627,0.39520814560217055,0.004998588176374393,0.3952741327303314
0.32,0.004394366203838871,0.339954789627199,0.004079516496459336,0.34002256979461193
0.34,0.003990252357750077,0.28703660915212925,0.003678836966528856,0.2871046672432408
0.36,0.003559213340583476,0.23704264936671388,0.0033044505395357074,0.2371092415171526
0.38,0.0030217248486910367,0.19048033960661542,0.0028454395411804645,0.19054363723558065
0.4,0.002443601580263745,0.14776856642826605,0.002344849405356145,0.14782660238098974
0.42,0.001895534191876835,0.10923273496779476,0.001859413031703751,0.10928339746690678
0.44,0.0013999155761099758,0.0751020430677081,0.0014047710210997693,0.07514319577296526
0.46,9.369572895204628e-4,0.04550928886230289,9.596529293365642e-4,0.045538773252516714
0.48,4.7540594246473286e-4,0.020492666647147276,4.949304966604267e-4,0.02050842636364243
0.5,0,0,0,0
